,structure_name,age,sex,unit_of_measure,geo,time_period,obs_value
0,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Austria,2023,7.9
1,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Bosnia and Herzegovina,2023,3.1
2,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Belgium,2023,4.4
3,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Bulgaria,2023,9.2
4,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Switzerland,2023,5.1
5,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Cyprus,2023,9.6
6,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Czechia,2023,6.4
7,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Germany,2023,10.5
8,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Denmark,2023,9.0
9,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Estonia,2023,8.0
10,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Greece,2023,3.6
11,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Spain,2023,11.3
12,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,European Union - 27 countries (from 2020),2023,7.7
13,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Finland,2023,7.3
14,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,France,2023,5.6
15,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Croatia,2023,1.2
16,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Hungary,2023,10.4
17,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Ireland,2023,2.9
18,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Iceland,2023,9.0
19,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Italy,2023,7.6
20,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Lithuania,2023,6.1
21,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Luxembourg,2023,
22,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Latvia,2023,5.5
23,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,North Macedonia,2023,8.2
24,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Malta,2023,7.6
