,last_update,freq,unit,wstatus,age,sex,geo,time_period,obs_value
0,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2000,10.2
1,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2001,10.2
2,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2002,9.5
3,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2003,9.0
4,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2004,9.8
5,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2005,9.3
6,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2006,10.0
7,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2007,10.8
8,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2008,10.2
9,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2009,8.8
10,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2010,8.3
11,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2011,8.5
12,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2012,7.8
13,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2013,7.5
14,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2014,7.0
15,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2015,7.3
16,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2016,6.9
17,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2017,7.4
18,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2018,7.3
19,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2019,7.8
20,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2020,8.1
21,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2021,8.0
22,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2022,8.4
23,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2023,8.6
24,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2024,8.1
25,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2021,4.7
26,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2022,3.6
27,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2023,4.2
28,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2024,3.8
29,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2000,13.8
30,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2001,13.8
31,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2002,14.1
32,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2003,14.3
33,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2004,13.1
34,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2005,12.9
