DATAFLOW,LAST UPDATE,freq,unit,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2000,10.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2001,10.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2002,9.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2003,9.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2004,9.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2005,9.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2006,10.0,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2007,10.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2008,10.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2009,8.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2010,8.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2011,8.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2012,7.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2013,7.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2014,7.0,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2015,7.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2016,6.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2017,7.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2018,7.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2019,7.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2020,8.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2021,8.0,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2022,8.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2023,8.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Austria,2024,8.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2021,4.7,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2022,3.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2023,4.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bosnia and Herzegovina,2024,3.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2000,13.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2001,13.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2002,14.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2003,14.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2004,13.1,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2005,12.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2006,12.6,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2007,12.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2008,12.0,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2009,11.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2010,11.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2011,12.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2012,12.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2013,11.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2014,9.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2015,10.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2016,8.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2017,8.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2018,8.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2019,8.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2020,8.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2021,6.7,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2022,6.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2023,6.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2024,7.0,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2001,20.5,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2002,20.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2003,21.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2004,21.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2005,20.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2006,17.3,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2007,14.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2008,14.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2009,14.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2010,12.6,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2011,11.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2012,12.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2013,12.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2014,12.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2015,13.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2016,13.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2017,12.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2018,12.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2019,13.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2020,12.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2021,12.0,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2022,10.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2023,9.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2024,8.2,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2000,7.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2001,6.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2002,6.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2003,9.7,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2004,9.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2005,9.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2006,9.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2007,7.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2008,7.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2009,9.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2010,6.7,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2011,6.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2012,5.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2013,5.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2014,5.6,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2015,5.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2016,4.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2017,4.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2018,4.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2019,4.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2020,4.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2021,5.1,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2022,6.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2023,5.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2024,5.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2000,18.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2001,17.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2002,15.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2003,17.3,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2004,20.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2005,18.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2006,14.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2007,12.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2008,13.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2009,11.7,b,
